증상,제품명,효능,복용법
호흡기질환 ,이알디캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,도스틴캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엔디스캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엘부날캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엘스테인캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엘도테인캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
혈행,두리방연질캡슐,"이 약은 말초혈행장애로 인한 어깨ᆞ목결림, 수족저림ᆞ수족냉증(손발이 차가움) 증상의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 3회 식후에 복용합니다."
혈행,톨시렌연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 A, C, E의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 말초혈행장애 및 갱년기 시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈ㆍ비출혈(코피) 예방에 사용합니다.","성인은 1회 1캡슐씩, 1일 1회 식후에 복용합니다."
혈행,씨이멕스연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 C, E의 보급과 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈ㆍ비출혈(코피) 예방, 말초혈행장애 및 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화에 사용합니다.","성인 및 13세 이상은 1회 1캡슐씩, 1일 2회 복용합니다."
혈행,쎄레톱씨연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 A, C, E의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 말초혈행장애 및 갱년기 시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈ㆍ비출혈(코피) 예방에 사용합니다.","성인은 1회 1캡슐씩, 1일 1회 식후에 복용합니다."
혈행,로비탈연질캡슐,"이 약은 육체피로, 임신∙수유기, 병중∙병후의 체력 저하 시, 노년기의 비타민 B1, B2, B6, C, E의 보급과 말초혈행장애 및 갱년기시 어깨ㆍ목결림, 수족저림, 수족냉증 증상의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 3회 복용합니다."
혈행,로페랄연질캡슐,"이 약은 육체피로, 임신∙수유기, 병중∙병후의 체력 저하 시, 노년기의 비타민 B1, B2, B6, C, E의 보급과 말초혈행장애 및 갱년기시 어깨ㆍ목결림, 수족저림, 수족냉증 증상의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 3회 복용합니다."
혈행,지오연질캅셀,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B2의 보급과 말초혈행장애, 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상의 어린이 및 성인은 1회 1캡슐씩, 1일 1회 복용합니다."
혈행,카세롤연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 A, E, C의 보급과 말초혈행장애 및 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈ㆍ비출혈(코피) 예방에 사용합니다.","성인은 1회 1캡슐씩, 1일 1회 식후에 복용합니다."
혈행,쎄투연질캡슐,"이 약은 노년기의 비타민 E의 보급과 말초혈행장애 및 갱년기시 어깨·목결림, 수족저림·수족냉증(손발이 차가움) 증상의 완화와 마그네슘결핍으로 인한 근육경련에 사용합니다.","만 8세 이상 어린이 및 성인은 1회 1캡슐씩, 1일 2회 복용합니다."
혈행,쎄토마연질캡슐,"이 약은 노년기의 비타민 E의 보급과 말초혈행장애 및 갱년기시 어깨·목결림, 수족저림·수족냉증(손발이 차가움) 증상의 완화와 마그네슘결핍으로 인한 근육경련에 사용합니다.","18세 이상의 성인은 1일 2회, 1회 1캡슐을 복용합니다."
혈전,포소루틴점안액,"이 약은 당뇨병성 망막증, 망막 및 유리체 출혈, 결막하출혈, 결막하 혈전환자에 대한 보조요법에 사용합니다.","의사의 처방이 없을 경우, 1회 1적씩, 1일 3회 결막낭내에 점적합니다."
혈전,세라틴점안액,"이 약은 당뇨병성 망막증, 망막 및 유리체 출혈, 결막하출혈, 결막하 혈전환자에 대한 보조요법에 사용합니다.","의사의 처방이 없을 경우, 1회 1적씩, 1일 3회 결막낭내에 점적합니다."
혈전,보령아스트릭스캡슐100밀리그람,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1캡슐, 1일 1회 복용합니다.이 약은 장용캡슐이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,초당아스피린장용정100mg,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,한미아스피린장용정100밀리그램,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,아스피린프로텍트정100밀리그람,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,영진아스피린장용정,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,리만50000엠겔,"이 약은 정맥류에 의한 증상(통증, 무거운 느낌, 하지부종, 종아리 근육 경련), 사고 또는 스포츠에 의한 둔상(혈종, 좌상(멍), 타박상, 긴장, 염좌(삠), 부기, 근육 및 인대의 통증)과 표재성(표면에 있는) 정맥염, 혈전정맥염, 혈관경화요법(sclerotherapy)후의 치료에 사용합니다.","약 5 cm정도 취하여, 매일 2~3회 환부(질환 부위)와 환부 주위에 바르고 부드럽게 문지릅니다.다리에 바를 경우, 아래쪽에서 위쪽 방향으로 가볍게 마사지 합니다.정맥염에 사용할 경우, 문지르지 않고, 얇게 펴 바른 후 밀봉합니다.이 약은 뛰어난 냉각효과가 있으므로 민감하고 넓은 부위에 적용시 적합합니다."
혈전,보령바이오아스트릭스캡슐100밀리그램,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1캡슐, 1일 1회 복용합니다.이 약은 장용캡슐이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혈전,이텍스아스피린장용정100mg,"이 약은 심근경색, 뇌경색, 불안정형 협심증에서 혈전 생성 억제와 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제와 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소에 사용합니다.","성인은 1회 1정, 1일 1회 복용합니다.이 약은 장용정이므로 충분한 물과 함께 식전에 복용할 수 있습니다."
혀염,페리덱스연고,이 약은 미란(짓무름) 또는 궤양을 수반하는 난치성 구내염(입안염) 및 설염(혀염)에 의한 염증의 완화에 사용합니다.,"1일 1~수회 환부(질환 부위)에 적당량을 바릅니다.연령(나이), 증상에 따라 적절히 증감할 수 있습니다."
혀염,벡크정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈, 비출혈(코피) 예방에 사용합니다.","만 8세 이상 및 성인은 1회 1정씩, 1일 1회 복용합니다."
혀염,삐콤씨에프정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈, 비출혈(코피) 예방에 사용합니다.","만 12세 이상 및 성인은 1회 1정씩, 1일 1회 복용합니다."
혀염,레디비타정,"이 약은 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛·피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈 및 비출혈(코피) 예방과 철 결핍성 빈혈의 예방 및 치료에 사용합니다.","성인은 1일 1회, 1회 1정 복용합니다."
혀염,지오연질캅셀,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B2의 보급과 말초혈행장애, 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상의 어린이 및 성인은 1회 1캡슐씩, 1일 1회 복용합니다."
혀염,리보테인정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B2, B6의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상 어린이 및 성인은 1회 1정씩, 1일 3회 식후에 복용합니다."
혀염,콘티박스디연질캡슐,"이 약은 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B1, B2, B6의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로, 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","8세 이상 어린이 및 성인은 1일 2회, 1회 1캡슐을 복용합니다."
혀염,지-비타정,"이 약은 육체피로, 임신 · 수유기, 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈ㆍ비출혈(코피) 예방과 아연의 보급에 사용합니다.","만 8세 이상 어린이, 청소년 및 성인은 1회 1정, 1일 1회 복용합니다."
혀염,비나폴로엑스트라연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, E, B1, B2, B6, C의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방, 신경통, 근육통, 관절통(요통(허리통증), 어깨결림 등), 각기, 눈의 피로, 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 말초 혈행 장애 및 갱년기시 어깨ㆍ 목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화에 사용합니다.","만 8세 이상 어린이 및 성인은 1회 1캡슐씩, 1일 2회 복용합니다."
혀염,이바내정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B2, B6의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","15세 이상 어린이 및 성인은 1회 2정씩, 1일 1회 복용합니다."
허리,에어신신파스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
허리,낙센정,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(삠, 타박상, 상처, 허리통증), 수술후 통증, 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(250~500 mg) 1일 2회(12시간마다), 급성통풍에 성인은 초회량(처음 복용량)으로 3정(750 mg) 복용하고 발작이 없어질 때까지 8시간 간격으로 1정(250 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에 성인은 초회량(처음 복용량)으로 2정(500 mg)을 복용한 후 6~8시간 간격으로 1정(250 mg)씩 복용하고 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다.편두통에 성인은 초회량(처음 복용량)으로 3정(750 mg)을 복용하고 필요하면 1일 1~2정(250-500 mg)을 더 투여할 수 있으며 초회량(처음 복용량)의 투여 30분 후에 투여합니다. 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다."
허리,게보린정,"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통과 오한(춥고 떨리는 증상), 발열시의 해열에 사용합니다.",성인은 1회 1정 1일 3회까지 공복시를 피해 복용합니다.복용간격은 4시간 이상으로 합니다.이 약은 원칙적으로 단기간 복용합니다.
허리,녹십자제놀카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
허리,아나프록스정,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 동통(통증)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염에는 1회 1~2정(275~550 mg) 1일 2회(12시간마다) 복용, 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 소실(없어짐)될 때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다."
허리,녹십자제놀마일드핫트카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요[허리]통, 어깨결림, 신경통, 류마티스통증의 진통 ㆍ 소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 부착합니다.
허리,제일핫파프,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",약면의 폴리에스테르필름을 벗기고 환부(질환 부위)에 1일 1~2회 붙입니다.
허리,제일쿨파프,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
허리,사니크린카타플라스마,"이 약은 타박상, 삠, 요(허리)통, 어깨결림, 근육통, 관절통의 진통 ㆍ 소염(항염)에 사용합니다.",약면의 박리지(벗겨내기)를 벗기고 1일 1~3회 환부(질환 부위)에 붙입니다.
허리,아낙스정,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg), 1일 2회(12시간마다), 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 없어질때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용합니다.1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다."
항염,에어신신파스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
항염,녹십자제놀카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
항염,녹십자제놀마일드핫트카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요[허리]통, 어깨결림, 신경통, 류마티스통증의 진통 ㆍ 소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 부착합니다.
항염,제일핫파프,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",약면의 폴리에스테르필름을 벗기고 환부(질환 부위)에 1일 1~2회 붙입니다.
항염,제일쿨파프,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
항염,사니크린카타플라스마,"이 약은 타박상, 삠, 요(허리)통, 어깨결림, 근육통, 관절통의 진통 ㆍ 소염(항염)에 사용합니다.",약면의 박리지(벗겨내기)를 벗기고 1일 1~3회 환부(질환 부위)에 붙입니다.
항염,신신물파스에스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통 · 소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 바르십시오.
항염,시푸로겔3%,"이 약은 퇴행성관절염(골(뼈)관절염), 어깨관절주위염, 건염(힘줄염)ㆍ건초염(힘줄윤활막염), 건주위염, 상완골(위팔뼈)상과염(테니스 엘보우 등), 근육통, 외상(상처)후의 종창(부기)ㆍ동통(통증)의 진통ㆍ소염(항염)에 사용합니다.",증상에 따라 적당량을 1일 수회(여러차례) 환부(질환 부위)에 바르고 잘 스며들도록 가볍게 문지릅니다.
항염,신신파스에스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
항염,비펜카타플라스마,"이 약은 퇴행성관절염(골관절염), 어깨관절주위염, 건(힘줄) · 건초염(힘줄윤활막염), 상완골(위팔뼈)상과염(테니스 엘보우 등), 근육통, 외상(상처)후의 종창(부기) · 동통(통증)의 진통 · 소염(항염)에 사용합니다.",1일 2회 약면의 박리지를 떼어내 환부에 붙입니다.적용부위의 땀을 닦아낸 후 사용하십시오.
